MSE_tensorflow,MSE_own_NN,R2_tensorflow,R2_own_NN,parameters_own_NN
0.7217,0.7229,0.2931,0.292,325
0.7868,0.9863,0.2294,0.0339,325
1.0212,0.9938,-0.0003,0.0265,325
0.218,0.124,0.7865,0.8786,1211
0.1858,0.2177,0.818,0.7868,1211
0.3243,0.3604,0.6823,0.647,1211
0.6046,0.5276,0.4078,0.4832,1211
0.8656,0.6662,0.1521,0.3475,1211
0.9394,0.8033,0.0798,0.2131,1211
0.1818,0.1301,0.8219,0.8725,1211
0.1755,0.2188,0.8281,0.7857,1211
0.3988,0.3605,0.6094,0.6469,1211
0.9944,0.5279,0.026,0.4829,1211
0.9432,0.6663,0.0761,0.3474,1211
0.9711,0.8034,0.0488,0.213,1211
0.1437,0.1326,0.8592,0.8701,1211
0.2251,0.2153,0.7795,0.7891,1211
0.3614,0.3609,0.646,0.6465,1211
0.6826,0.5284,0.3314,0.4824,1211
0.8985,0.6665,0.1199,0.3471,1211
1.0217,0.8036,-0.0008,0.2128,1211
0.1484,0.1278,0.8546,0.8749,1211
0.2502,0.2184,0.7549,0.7861,1211
0.287,0.3628,0.7189,0.6446,1211
0.9139,0.5302,0.1048,0.4806,1211
0.7431,0.6673,0.2721,0.3463,1211
1.0553,0.8043,-0.0337,0.2122,1211
0.1323,0.1491,0.8704,0.854,1211
0.1987,0.2218,0.8053,0.7827,1211
0.2999,0.3712,0.7063,0.6364,1211
0.5287,0.5368,0.4821,0.4742,1211
0.8492,0.6702,0.1682,0.3436,1211
1.022,0.8065,-0.0011,0.21,1211
0.1457,0.2004,0.8573,0.8037,1211
0.1881,0.2554,0.8158,0.7499,1211
0.423,0.407,0.5856,0.6013,1211
0.7038,0.5637,0.3106,0.4478,1211
0.7915,0.6825,0.2247,0.3315,1211
0.9388,0.8147,0.0804,0.202,1211
0.1023,0.154,0.8998,0.8492,4629
0.1816,0.1895,0.8221,0.8144,4629
0.3663,0.2758,0.6412,0.7299,4629
0.6067,0.4245,0.4057,0.5842,4629
0.9411,0.4976,0.0782,0.5126,4629
0.9166,0.6336,0.1021,0.3794,4629
0.132,0.1478,0.8708,0.8552,4629
0.3105,0.1905,0.6958,0.8134,4629
0.3216,0.276,0.6849,0.7296,4629
0.6105,0.4247,0.402,0.584,4629
0.9177,0.4978,0.1011,0.5124,4629
0.9368,0.6338,0.0824,0.3791,4629
0.1535,0.1474,0.8497,0.8556,4629
0.2216,0.1898,0.7829,0.8141,4629
0.3277,0.2764,0.679,0.7293,4629
0.5524,0.4251,0.4589,0.5836,4629
0.9182,0.4983,0.1006,0.5119,4629
1.0221,0.6344,-0.0011,0.3786,4629
0.273,0.1491,0.7326,0.8539,4629
0.1771,0.1912,0.8266,0.8127,4629
0.2849,0.2774,0.7209,0.7283,4629
0.531,0.4269,0.4799,0.5819,4629
0.7435,0.5,0.2717,0.5102,4629
0.9123,0.6361,0.1064,0.3769,4629
0.1275,0.1184,0.8751,0.8841,4629
0.2208,0.2029,0.7837,0.8013,4629
0.2984,0.2854,0.7077,0.7204,4629
0.6703,0.4338,0.3434,0.5751,4629
0.8805,0.5068,0.1375,0.5036,4629
1.0094,0.6417,0.0113,0.3715,4629
0.2069,0.9937,0.7973,0.0266,4629
0.1865,0.2428,0.8173,0.7622,4629
0.259,0.3321,0.7463,0.6747,4629
0.587,0.4649,0.425,0.5446,4629
0.8816,0.5352,0.1364,0.4758,4629
0.961,0.6594,0.0587,0.3541,4629
