,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
69,0.7038,0.3106,0.5637,0.4478,1211.0,16.0,0.001584893192461114,0.001
70,0.7915,0.2247,0.6825,0.3315,1211.0,16.0,0.00039810717055349735,0.001
71,0.9388,0.0804,0.8147,0.202,1211.0,16.0,0.0001,0.001
72,0.1785,0.8251,1.022,-0.0011,325.0,8.0,0.1,0.0
73,0.2328,0.772,0.5511,0.4602,325.0,8.0,0.025118864315095794,0.0
74,0.6059,0.4066,0.5693,0.4423,325.0,8.0,0.00630957344480193,0.0
75,0.9463,0.0731,0.6621,0.3515,325.0,8.0,0.001584893192461114,0.0
76,1.0171,0.0037,0.9817,0.0384,325.0,8.0,0.00039810717055349735,0.0
77,0.906,0.1125,0.991,0.0293,325.0,8.0,0.0001,0.0
78,0.1543,0.8488,1.022,-0.0011,325.0,8.0,0.1,1e-05
79,0.2958,0.7103,0.5548,0.4566,325.0,8.0,0.025118864315095794,1e-05
80,1.0212,-0.0003,0.5691,0.4425,325.0,8.0,0.00630957344480193,1e-05
81,1.0196,0.0013,0.6628,0.3508,325.0,8.0,0.001584893192461114,1e-05
82,0.9492,0.0702,0.9817,0.0384,325.0,8.0,0.00039810717055349735,1e-05
83,1.0223,-0.0014,0.991,0.0293,325.0,8.0,0.0001,1e-05
84,0.1878,0.816,1.022,-0.0011,325.0,8.0,0.1,3.1622776601683795e-05
85,0.2103,0.794,0.5534,0.4579,325.0,8.0,0.025118864315095794,3.1622776601683795e-05
86,0.2902,0.7157,0.5695,0.4421,325.0,8.0,0.00630957344480193,3.1622776601683795e-05
87,0.9217,0.0971,0.6635,0.3501,325.0,8.0,0.001584893192461114,3.1622776601683795e-05
88,1.0137,0.007,0.9818,0.0383,325.0,8.0,0.00039810717055349735,3.1622776601683795e-05
89,1.0035,0.017,0.9911,0.0292,325.0,8.0,0.0001,3.1622776601683795e-05
90,0.1662,0.8372,1.022,-0.0011,325.0,8.0,0.1,0.0001
91,0.2257,0.7789,0.55,0.4613,325.0,8.0,0.025118864315095794,0.0001
92,0.5624,0.4491,0.5702,0.4415,325.0,8.0,0.00630957344480193,0.0001
93,1.0206,0.0003,0.6667,0.347,325.0,8.0,0.001584893192461114,0.0001
94,1.028,-0.007,0.9821,0.038,325.0,8.0,0.00039810717055349735,0.0001
95,0.9046,0.1139,0.9912,0.0291,325.0,8.0,0.0001,0.0001
96,0.2444,0.7606,1.022,-0.0011,325.0,8.0,0.1,0.00031622776601683794
97,0.2153,0.7891,0.4935,0.5166,325.0,8.0,0.025118864315095794,0.00031622776601683794
98,0.3675,0.64,0.5739,0.4379,325.0,8.0,0.00630957344480193,0.00031622776601683794
99,0.7312,0.2838,0.6751,0.3387,325.0,8.0,0.001584893192461114,0.00031622776601683794
100,1.0166,0.0042,0.983,0.0371,325.0,8.0,0.00039810717055349735,0.00031622776601683794
101,0.966,0.0538,0.9917,0.0286,325.0,8.0,0.0001,0.00031622776601683794
102,1.0221,-0.0012,1.022,-0.001,325.0,8.0,0.1,0.001
103,0.2096,0.7947,0.5225,0.4882,325.0,8.0,0.025118864315095794,0.001
104,0.3948,0.6133,0.5939,0.4182,325.0,8.0,0.00630957344480193,0.001
105,0.7217,0.2931,0.7229,0.292,325.0,8.0,0.001584893192461114,0.001
106,0.7868,0.2294,0.9863,0.0339,325.0,8.0,0.00039810717055349735,0.001
107,1.0212,-0.0003,0.9938,0.0265,325.0,8.0,0.0001,0.001
