,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
61,0.8296,0.1874,1.02,0.0009,65.0,16.0,0.025118864315095794,0.00031622776601683794
62,0.8642,0.1535,1.0331,-0.0119,65.0,16.0,0.00630957344480193,0.00031622776601683794
63,0.9071,0.1115,1.0661,-0.0443,65.0,16.0,0.001584893192461114,0.00031622776601683794
64,0.9574,0.0622,1.1106,-0.0879,65.0,16.0,0.00039810717055349735,0.00031622776601683794
65,1.2912,-0.2648,1.1343,-0.1111,65.0,16.0,0.0001,0.00031622776601683794
66,0.4986,0.5116,0.9275,0.0915,65.0,16.0,0.1,0.001
67,0.8642,0.1535,1.0204,0.0005,65.0,16.0,0.025118864315095794,0.001
68,0.871,0.1468,1.0319,-0.0108,65.0,16.0,0.00630957344480193,0.001
69,0.9656,0.0542,1.062,-0.0402,65.0,16.0,0.001584893192461114,0.001
70,1.0822,-0.06,1.1068,-0.0841,65.0,16.0,0.00039810717055349735,0.001
71,1.0599,-0.0382,1.1329,-0.1097,65.0,16.0,0.0001,0.001
72,0.5493,0.4619,0.8635,0.1542,33.0,8.0,0.1,0.0
73,0.8336,0.1835,0.9828,0.0373,33.0,8.0,0.025118864315095794,0.0
74,0.8736,0.1443,1.0195,0.0014,33.0,8.0,0.00630957344480193,0.0
75,0.9264,0.0926,1.1752,-0.1512,33.0,8.0,0.001584893192461114,0.0
76,0.97,0.0499,1.4132,-0.3842,33.0,8.0,0.00039810717055349735,0.0
77,1.0639,-0.0421,1.4903,-0.4598,33.0,8.0,0.0001,0.0
78,0.466,0.5435,0.8636,0.154,33.0,8.0,0.1,1e-05
79,0.8596,0.158,0.9828,0.0373,33.0,8.0,0.025118864315095794,1e-05
80,0.8647,0.153,1.0194,0.0014,33.0,8.0,0.00630957344480193,1e-05
81,0.9827,0.0374,1.1747,-0.1506,33.0,8.0,0.001584893192461114,1e-05
82,0.914,0.1047,1.4129,-0.384,33.0,8.0,0.00039810717055349735,1e-05
83,1.1208,-0.0979,1.4902,-0.4597,33.0,8.0,0.0001,1e-05
84,0.5119,0.4986,0.864,0.1537,33.0,8.0,0.1,3.1622776601683795e-05
85,0.7763,0.2396,0.9829,0.0372,33.0,8.0,0.025118864315095794,3.1622776601683795e-05
86,0.8813,0.1367,1.0193,0.0016,33.0,8.0,0.00630957344480193,3.1622776601683795e-05
87,0.9578,0.0618,1.1736,-0.1495,33.0,8.0,0.001584893192461114,3.1622776601683795e-05
88,0.9192,0.0996,1.4123,-0.3833,33.0,8.0,0.00039810717055349735,3.1622776601683795e-05
89,1.088,-0.0657,1.49,-0.4595,33.0,8.0,0.0001,3.1622776601683795e-05
90,0.4972,0.513,0.865,0.1528,33.0,8.0,0.1,0.0001
91,0.8447,0.1726,0.9832,0.0369,33.0,8.0,0.025118864315095794,0.0001
92,0.8723,0.1456,1.0187,0.0021,33.0,8.0,0.00630957344480193,0.0001
93,0.9866,0.0336,1.17,-0.146,33.0,8.0,0.001584893192461114,0.0001
94,0.9095,0.1091,1.4103,-0.3814,33.0,8.0,0.00039810717055349735,0.0001
95,1.2185,-0.1935,1.4896,-0.4591,33.0,8.0,0.0001,0.0001
96,0.5047,0.5057,0.8684,0.1494,33.0,8.0,0.1,0.00031622776601683794
97,0.7674,0.2483,0.9841,0.036,33.0,8.0,0.025118864315095794,0.00031622776601683794
98,0.8733,0.1446,1.0173,0.0036,33.0,8.0,0.00630957344480193,0.00031622776601683794
99,0.9282,0.0908,1.1593,-0.1356,33.0,8.0,0.001584893192461114,0.00031622776601683794
100,1.0132,0.0075,1.4041,-0.3753,33.0,8.0,0.00039810717055349735,0.00031622776601683794
101,0.9917,0.0286,1.488,-0.4575,33.0,8.0,0.0001,0.00031622776601683794
102,0.4838,0.5261,0.881,0.1371,33.0,8.0,0.1,0.001
103,0.7834,0.2327,0.9867,0.0335,33.0,8.0,0.025118864315095794,0.001
104,0.8484,0.169,1.0138,0.0069,33.0,8.0,0.00630957344480193,0.001
105,0.932,0.0871,1.1313,-0.1081,33.0,8.0,0.001584893192461114,0.001
106,1.1271,-0.104,1.3847,-0.3563,33.0,8.0,0.00039810717055349735,0.001
107,1.1143,-0.0915,1.4831,-0.4527,33.0,8.0,0.0001,0.001
