,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN
132,0.1429,0.86,0.1521,0.851,4629
133,0.2238,0.7808,0.1995,0.8046,4629
134,0.3005,0.7056,0.2863,0.7196,4629
135,0.5814,0.4305,0.4341,0.5747,4629
136,0.8239,0.1929,0.507,0.5034,4629
137,1.0075,0.0131,0.6404,0.3727,4629
138,0.1476,0.8554,0.1949,0.8091,4629
139,0.1733,0.8302,0.243,0.762,4629
140,0.3047,0.7016,0.3287,0.678,4629
141,0.5227,0.488,0.4657,0.5439,4629
142,0.7162,0.2984,0.535,0.4759,4629
143,0.8191,0.1977,0.6579,0.3556,4629
144,0.2365,0.7684,0.1212,0.8813,1211
145,0.1932,0.8107,0.212,0.7924,1211
146,0.3137,0.6928,0.359,0.6484,1211
147,0.6961,0.3181,0.5284,0.4824,1211
148,0.6731,0.3407,0.6686,0.3451,1211
149,1,0.0205,0.8021,0.2143,1211
150,0.1562,0.847,0.1348,0.8679,1211
151,0.1927,0.8113,0.2124,0.792,1211
152,0.3651,0.6424,0.3592,0.6481,1211
153,0.5858,0.4262,0.5287,0.4822,1211
154,0.9172,0.1015,0.6686,0.3451,1211
155,0.9962,0.0242,0.8022,0.2142,1211
156,0.1689,0.8345,0.1184,0.884,1211
157,0.1834,0.8204,0.2127,0.7917,1211
158,0.378,0.6297,0.3598,0.6476,1211
159,0.6035,0.4088,0.5292,0.4817,1211
160,0.8858,0.1323,0.6688,0.3449,1211
161,0.9417,0.0776,0.8024,0.214,1211
162,0.1646,0.8388,0.1365,0.8663,1211
163,0.175,0.8286,0.2148,0.7896,1211
164,0.3917,0.6163,0.3619,0.6455,1211
165,0.5954,0.4168,0.531,0.4799,1211
166,0.9684,0.0514,0.6694,0.3443,1211
167,0.8355,0.1816,0.8032,0.2132,1211
168,0.1208,0.8817,0.125,0.8776,1211
169,0.2206,0.7839,0.2209,0.7836,1211
170,0.3026,0.7036,0.3709,0.6367,1211
171,0.6647,0.3489,0.5374,0.4736,1211
172,0.9602,0.0595,0.6719,0.3418,1211
173,1.0277,-0.0066,0.8056,0.2109,1211
174,0.1462,0.8567,0.1809,0.8228,1211
175,0.2278,0.7769,0.2571,0.7481,1211
176,0.3129,0.6935,0.4058,0.6025,1211
177,0.6884,0.3257,0.5648,0.4468,1211
178,0.7732,0.2427,0.6843,0.3297,1211
179,1.0216,-0.0007,0.8142,0.2024,1211
180,0.1783,0.8254,0.3548,0.6524,325
181,0.2333,0.7714,0.2748,0.7308,325
182,0.6092,0.4033,0.5707,0.441,325
183,0.8268,0.1901,0.6511,0.3622,325
184,0.8528,0.1647,0.9864,0.0338,325
185,0.9972,0.0232,0.9997,0.0207,325
186,0.1752,0.8284,0.286,0.7198,325
187,0.4119,0.5965,0.2731,0.7325,325
188,0.5293,0.4816,0.5674,0.4442,325
189,1.0105,0.0102,0.6513,0.362,325
190,0.7985,0.2179,0.9864,0.0338,325
191,1.0162,0.0047,0.9998,0.0207,325
192,0.184,0.8198,0.3537,0.6535,325
193,0.2276,0.777,0.2813,0.7245,325
194,0.4076,0.6007,0.5676,0.444,325
195,0.5765,0.4353,0.6516,0.3617,325
196,0.9965,0.0239,0.9865,0.0338,325
197,0.9618,0.0579,0.9998,0.0207,325
198,0.2039,0.8002,0.1794,0.8243,325
199,0.9922,0.0281,0.2691,0.7364,325
