,batch_size,learning_rate,epoch,univ_neurons,mse_all,mse_all2,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mse9,mse10,mse11,mse12,mse13,mse14,mse15,mse16,mse17,mse18,mse19,mse20,mse21,mse22,mse23,mse24
0,200.0,0.1,50.0,128.0,0.25671607587482587,0.09945879120561128,0.055813808364723494,0.06412838737962213,0.08629128654229619,0.08780208696667678,0.03558996715365823,0.018145987122069763,0.020499850251699623,0.16939755950029456,0.17371515131970236,0.20467066420916802,0.16211024342114172,0.16257798878942922,0.14721730120841717,0.17059461985722282,0.13685849101722194,0.13643197959609102,0.14398992018712123,0.14502660037463314,0.05998900183072158,0.026573154701854174,0.0320761043599548,0.03978803101377558,0.056644328882335324,0.051078474884839936
1,400.0,0.1,50.0,128.0,0.2560409105277062,0.09897462776131387,0.05846372719778698,0.061902765338089395,0.08579424247285018,0.0861296983693951,0.03759149370397525,0.01747334120296331,0.020268381353994308,0.16604926455448452,0.17986946763436595,0.199524686358877,0.16118792107651722,0.15981743485558433,0.15209399056036788,0.16560968288704056,0.1365991442845275,0.13440381981215882,0.14831714868640244,0.14090175049104228,0.059782099867033256,0.02595039173122957,0.03400456914167515,0.037893262977230065,0.05617788768122247,0.049584894032719165
2,600.0,0.1,50.0,128.0,0.2550228946490991,0.09844899697618242,0.059460790818796294,0.06169318299955602,0.08878394497154159,0.08603631270982756,0.03532358821109569,0.017235585746058518,0.01837154310321521,0.15081978654483344,0.17670982524799425,0.19611541143650882,0.1568040175203638,0.15810839179636085,0.14994415585181592,0.1658370400641624,0.131253567319925,0.1452830230394608,0.16869393595713275,0.1353370471004969,0.05861347834575834,0.027349299741866596,0.034052647876978995,0.03921665895979327,0.05623368468280071,0.04549900738203419
3,800.0,0.1,50.0,128.0,0.25149838168112354,0.0962378732131632,0.06896325732988286,0.06648540809858104,0.07327891058640694,0.08197960178059073,0.03478092414138015,0.02011498807044133,0.019544228936599396,0.15039660623441928,0.15944074529043148,0.21301998724955257,0.14385659935623962,0.14259733933122323,0.14619167700392985,0.15004346043402703,0.1469490725540784,0.1269714218123015,0.15200143550554499,0.15877626360500427,0.05683553869570242,0.02568775686313083,0.0280353128054912,0.03934206656695311,0.04816404512223141,0.056252309741773296
4,200.0,0.01,50.0,128.0,0.25629298060926364,0.09895419686041844,0.05535827082358618,0.061495674081726015,0.08405624161676575,0.08700616854235559,0.03661648206035755,0.01894532893712976,0.021786677873874866,0.16506733420224656,0.17591776184569669,0.20767880441996012,0.15488078718450196,0.1676389480454087,0.14559608868493093,0.17074502853152923,0.13092774597766282,0.13661510478407002,0.1438818553774046,0.14482053324699082,0.05940747941958449,0.026758337312252675,0.03376688346597263,0.039222646373197445,0.056423614411415045,0.050286927431422
5,400.0,0.01,50.0,128.0,0.24869810732380834,0.09437108210188087,0.044195857048644156,0.059777783965765996,0.0813788595614766,0.08469726752692168,0.029460688340855565,0.01505373749976658,0.01677877713318135,0.15709128302200845,0.171686546124266,0.21232562752962755,0.16053737468992502,0.14797121042555533,0.1398439126437152,0.16129703213125127,0.1383518846368988,0.12689313877159872,0.13964606379694788,0.12949032677179795,0.0642057486018557,0.025712380144616336,0.03297759485772429,0.028638859494254022,0.05317374782677129,0.043720267899714935
6,600.0,0.01,50.0,128.0,0.2623597815678633,0.09764873926090108,0.0592403715265068,0.07526761444864936,0.10386247083549177,0.06363295869542378,0.03611434656915774,0.030538265213643837,0.027455439007501803,0.13507568707737333,0.1517596038123452,0.18170229756453052,0.13413370732817584,0.16274924929254583,0.1448577950548565,0.17312886525020027,0.1111030148699758,0.1557544801935179,0.1399092048600722,0.11199695396716185,0.07227093172818891,0.04083005060044728,0.05211886458612622,0.05190766602738839,0.05531544629399272,0.07284445745835232
7,800.0,0.01,50.0,128.0,0.2533889767016044,0.09753255023073608,0.05576620843505422,0.061605117776124624,0.08364554060589563,0.08484317986185116,0.03591934029959731,0.016936777583712065,0.01863155525261661,0.16705537607986143,0.17698550356068035,0.20281629790879854,0.15365834277370294,0.1649762510402594,0.1449397178682047,0.1678323840381861,0.1302451834249348,0.13497798753459483,0.14408305986945277,0.13750470739722484,0.05682684663213709,0.026193228902190866,0.03278193952952999,0.03789900014329072,0.054920202474942524,0.04973745654482224
8,200.0,0.001,50.0,128.0,0.10175811805545454,0.019091521820300203,0.0033734061196240305,0.011133314310589683,0.019926811139125103,0.01758949749478643,0.007859547354576614,0.003634127605014264,0.005967598797257653,0.03466054595494508,0.02706139037518156,0.025478493789289448,0.019429017728667425,0.04798626261473066,0.02822499833626846,0.023245590000936765,0.02317451739914362,0.031437846618519755,0.031542376425522885,0.03760928631338747,0.009481339436504027,0.013052825998323834,0.01415317344868906,0.006637225334168874,0.007128657543891689,0.00840867354806048
9,400.0,0.001,50.0,128.0,0.10744133017947877,0.021786073182229682,0.008859177376513252,0.014426112781572747,0.018217881070627915,0.006521791411028006,0.012183409376378842,0.004882165216763921,0.007336717826990243,0.05194384375635645,0.03269932335668288,0.044085649090941335,0.05421879160261164,0.047003183907640966,0.019874357799045013,0.041013400569604355,0.0163000352054809,0.018255289805470185,0.013475258402092249,0.05001430269317352,0.010205049015797696,0.009284887445951608,0.011559072739804445,0.007251755825647391,0.015319969685934754,0.007934330411402058
