,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
60,0.3608,0.6465,1.0212,-0.0003,65.0,16.0,0.1,0.00031622776601683794
61,0.3652,0.6423,1.0212,-0.0003,65.0,16.0,0.025118864315095794,0.00031622776601683794
62,0.5056,0.5047,1.0212,-0.0003,65.0,16.0,0.00630957344480193,0.00031622776601683794
63,0.6258,0.387,1.0212,-0.0003,65.0,16.0,0.001584893192461114,0.00031622776601683794
64,0.7436,0.2717,1.0212,-0.0003,65.0,16.0,0.00039810717055349735,0.00031622776601683794
65,0.9907,0.0296,1.0212,-0.0003,65.0,16.0,0.0001,0.00031622776601683794
66,0.3071,0.6991,1.0212,-0.0003,65.0,16.0,0.1,0.001
67,0.4151,0.5934,1.0212,-0.0003,65.0,16.0,0.025118864315095794,0.001
68,0.472,0.5377,1.0212,-0.0003,65.0,16.0,0.00630957344480193,0.001
69,0.7031,0.3113,1.0212,-0.0003,65.0,16.0,0.001584893192461114,0.001
70,0.828,0.1889,1.0212,-0.0003,65.0,16.0,0.00039810717055349735,0.001
71,1.1794,-0.1552,1.0212,-0.0003,65.0,16.0,0.0001,0.001
72,0.3165,0.69,0.6824,0.3316,33.0,8.0,0.1,0.0
73,0.4355,0.5734,0.6985,0.3158,33.0,8.0,0.025118864315095794,0.0
74,0.5259,0.4849,0.7484,0.2669,33.0,8.0,0.00630957344480193,0.0
75,0.7111,0.3035,0.7847,0.2314,33.0,8.0,0.001584893192461114,0.0
76,0.9002,0.1182,0.8292,0.1878,33.0,8.0,0.00039810717055349735,0.0
77,0.7866,0.2295,1.1905,-0.1662,33.0,8.0,0.0001,0.0
78,0.308,0.6983,0.6824,0.3315,33.0,8.0,0.1,1e-05
79,0.3952,0.6129,0.6986,0.3157,33.0,8.0,0.025118864315095794,1e-05
80,0.584,0.4279,0.7485,0.2668,33.0,8.0,0.00630957344480193,1e-05
81,0.7149,0.2998,0.7847,0.2314,33.0,8.0,0.001584893192461114,1e-05
82,0.8803,0.1378,0.8291,0.1879,33.0,8.0,0.00039810717055349735,1e-05
83,1.0662,-0.0444,1.188,-0.1637,33.0,8.0,0.0001,1e-05
84,0.42,0.5886,0.6822,0.3317,33.0,8.0,0.1,3.1622776601683795e-05
85,0.3591,0.6482,0.6989,0.3155,33.0,8.0,0.025118864315095794,3.1622776601683795e-05
86,0.6204,0.3924,0.7487,0.2666,33.0,8.0,0.00630957344480193,3.1622776601683795e-05
87,0.6526,0.3607,0.7847,0.2313,33.0,8.0,0.001584893192461114,3.1622776601683795e-05
88,0.7889,0.2272,0.8288,0.1882,33.0,8.0,0.00039810717055349735,3.1622776601683795e-05
89,0.903,0.1155,1.1827,-0.1585,33.0,8.0,0.0001,3.1622776601683795e-05
90,0.3856,0.6223,0.6822,0.3318,33.0,8.0,0.1,0.0001
91,0.4237,0.585,0.6997,0.3147,33.0,8.0,0.025118864315095794,0.0001
92,0.4817,0.5281,0.7495,0.2659,33.0,8.0,0.00630957344480193,0.0001
93,0.6486,0.3647,0.785,0.231,33.0,8.0,0.001584893192461114,0.0001
94,0.7904,0.2258,0.8282,0.1887,33.0,8.0,0.00039810717055349735,0.0001
95,0.9283,0.0907,1.1663,-0.1424,33.0,8.0,0.0001,0.0001
96,0.4141,0.5944,0.6828,0.3312,33.0,8.0,0.1,0.00031622776601683794
97,0.4516,0.5577,0.7032,0.3112,33.0,8.0,0.025118864315095794,0.00031622776601683794
98,0.5234,0.4873,0.7531,0.2623,33.0,8.0,0.00630957344480193,0.00031622776601683794
99,0.7085,0.306,0.7867,0.2294,33.0,8.0,0.001584893192461114,0.00031622776601683794
100,0.9034,0.1151,0.8278,0.1892,33.0,8.0,0.00039810717055349735,0.00031622776601683794
101,1.2949,-0.2684,1.1197,-0.0967,33.0,8.0,0.0001,0.00031622776601683794
102,0.3973,0.6109,1.0212,-0.0003,33.0,8.0,0.1,0.001
103,0.437,0.572,0.719,0.2958,33.0,8.0,0.025118864315095794,0.001
104,0.6208,0.3919,0.7681,0.2477,33.0,8.0,0.00630957344480193,0.001
105,0.6989,0.3154,0.7972,0.2191,33.0,8.0,0.001584893192461114,0.001
106,0.8274,0.1896,0.8354,0.1817,33.0,8.0,0.00039810717055349735,0.001
107,0.9326,0.0865,1.0137,0.0071,33.0,8.0,0.0001,0.001
