,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
69,0.6884,0.3257,0.5648,0.4468,1211.0,16.0,0.001584893192461114,0.001
70,0.7732,0.2427,0.6843,0.3297,1211.0,16.0,0.00039810717055349735,0.001
71,1.0216,-0.0007,0.8142,0.2024,1211.0,16.0,0.0001,0.001
72,0.1783,0.8254,0.3548,0.6524,325.0,8.0,0.1,0.0
73,0.2333,0.7714,0.2748,0.7308,325.0,8.0,0.025118864315095794,0.0
74,0.6092,0.4033,0.5707,0.441,325.0,8.0,0.00630957344480193,0.0
75,0.8268,0.1901,0.6511,0.3622,325.0,8.0,0.001584893192461114,0.0
76,0.8528,0.1647,0.9864,0.0338,325.0,8.0,0.00039810717055349735,0.0
77,0.9972,0.0232,0.9997,0.0207,325.0,8.0,0.0001,0.0
78,0.1752,0.8284,0.286,0.7198,325.0,8.0,0.1,1e-05
79,0.4119,0.5965,0.2731,0.7325,325.0,8.0,0.025118864315095794,1e-05
80,0.5293,0.4816,0.5674,0.4442,325.0,8.0,0.00630957344480193,1e-05
81,1.0105,0.0102,0.6513,0.362,325.0,8.0,0.001584893192461114,1e-05
82,0.7985,0.2179,0.9864,0.0338,325.0,8.0,0.00039810717055349735,1e-05
83,1.0162,0.0047,0.9998,0.0207,325.0,8.0,0.0001,1e-05
84,0.184,0.8198,0.3537,0.6535,325.0,8.0,0.1,3.1622776601683795e-05
85,0.2276,0.777,0.2813,0.7245,325.0,8.0,0.025118864315095794,3.1622776601683795e-05
86,0.4076,0.6007,0.5676,0.444,325.0,8.0,0.00630957344480193,3.1622776601683795e-05
87,0.5765,0.4353,0.6516,0.3617,325.0,8.0,0.001584893192461114,3.1622776601683795e-05
88,0.9965,0.0239,0.9865,0.0338,325.0,8.0,0.00039810717055349735,3.1622776601683795e-05
89,0.9618,0.0579,0.9998,0.0207,325.0,8.0,0.0001,3.1622776601683795e-05
90,0.2039,0.8002,0.1794,0.8243,325.0,8.0,0.1,0.0001
91,0.9922,0.0281,0.2691,0.7364,325.0,8.0,0.025118864315095794,0.0001
92,0.5465,0.4647,0.5683,0.4433,325.0,8.0,0.00630957344480193,0.0001
93,0.6151,0.3975,0.6525,0.3609,325.0,8.0,0.001584893192461114,0.0001
94,0.7484,0.267,0.9868,0.0334,325.0,8.0,0.00039810717055349735,0.0001
95,1.0103,0.0104,0.9999,0.0206,325.0,8.0,0.0001,0.0001
96,0.1685,0.835,0.1926,0.8114,325.0,8.0,0.1,0.00031622776601683794
97,0.2633,0.7421,0.2817,0.7241,325.0,8.0,0.025118864315095794,0.00031622776601683794
98,0.5635,0.448,0.5724,0.4393,325.0,8.0,0.00630957344480193,0.00031622776601683794
99,0.5738,0.4379,0.6571,0.3563,325.0,8.0,0.001584893192461114,0.00031622776601683794
100,0.9888,0.0314,0.9881,0.0321,325.0,8.0,0.00039810717055349735,0.00031622776601683794
101,0.966,0.0538,1.0004,0.0201,325.0,8.0,0.0001,0.00031622776601683794
102,0.3719,0.6358,0.235,0.7698,325.0,8.0,0.1,0.001
103,0.2299,0.7748,0.3045,0.7017,325.0,8.0,0.025118864315095794,0.001
104,0.5767,0.4351,0.5919,0.4202,325.0,8.0,0.00630957344480193,0.001
105,0.7113,0.3033,0.6836,0.3304,325.0,8.0,0.001584893192461114,0.001
106,1.0127,0.008,0.9917,0.0286,325.0,8.0,0.00039810717055349735,0.001
107,1.017,0.0038,1.0025,0.018,325.0,8.0,0.0001,0.001
