,batch_size,learning_rate,epoch,univ_neurons,mse_all,mse_all2,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mse9,mse10,mse11,mse12,mse13,mse14,mse15,mse16,mse17,mse18,mse19,mse20,mse21,mse22,mse23,mse24
0,200.0,0.1,50.0,128.0,0.2571415900089205,0.09942649211162576,0.056475197690811794,0.06318377815670422,0.0853980105091149,0.08918200623949536,0.03684014931147924,0.018699299335331886,0.022892047878679492,0.17050518346175045,0.17452389495265505,0.21744726050690794,0.15719983432847331,0.162583221820257,0.15287513660773422,0.16581720349942375,0.13393046639868167,0.13831856624954791,0.13778483010313342,0.13129858470284866,0.0599236846415952,0.026405030060733938,0.0345016083678194,0.04225455821275798,0.05878056480177122,0.049415692841310144
1,400.0,0.1,50.0,128.0,0.2561713203328248,0.09913225856671866,0.0581628262345536,0.06227503996819211,0.08384049311881465,0.08979434579939391,0.03562020201618271,0.01811491787155754,0.02016711844398073,0.16691221312326435,0.17689039421594668,0.20569534090318722,0.15570328579116974,0.1631317263329843,0.1516302495336277,0.16690060536355392,0.13409537046785247,0.1394062260612161,0.14347016102783225,0.14401759419522825,0.059444556978834946,0.026263384664014195,0.03301930625818157,0.04008001244305785,0.05342131874687426,0.05111751604174662
2,600.0,0.1,50.0,128.0,0.2531489658785606,0.09745770437997646,0.056308882143688226,0.0606479471504421,0.08148316645538953,0.0868783299171719,0.03442922397283891,0.018354496996073954,0.019811915682504174,0.16308247113249622,0.17586451747309712,0.20357062848402505,0.15619943889268462,0.16004884596540161,0.14916881078356634,0.1651142303700839,0.1336504607626155,0.13517117973866485,0.13896993406524724,0.14168000444916004,0.05809329490359963,0.024860404625363423,0.03193308758734177,0.03914178764693615,0.053764064634499974,0.05075778128654277
3,800.0,0.1,50.0,128.0,0.23136703741090248,0.08477570443154837,0.05740621739747199,0.06517922998133462,0.06044823712066096,0.08069417994404611,0.01836827413547315,0.016607249880244007,0.008162651302576537,0.10348106336356576,0.1724161662568192,0.2265648468246533,0.13069835396075466,0.13360257877836212,0.1320231730724279,0.12896200869253252,0.11377066675927153,0.10109948238457545,0.13965964482079407,0.1432087703351768,0.07824502531491928,0.012295263978114805,0.021295169413091015,0.04051747550944633,0.020865499385374253,0.029045677745474837
4,200.0,0.01,50.0,128.0,0.07713822153920012,0.012852443650583628,0.001649969748541338,0.024161965320298098,0.008805263895001225,0.005096628004429325,0.010482691005249994,0.01146513456463005,0.014932142070564314,0.010349157960276596,0.009309049155818941,0.02974097894845968,0.01025062386168971,0.01675716326820437,0.013215918594479972,0.014315195640373653,0.020634739092648534,0.018213606368362657,0.017001535127484126,0.0171164083638345,0.014821886353466247,0.008506591500420302,0.010609472891712157,0.008764002960994876,0.006284480981954505,0.005974041935111921
5,400.0,0.01,50.0,128.0,0.09605271920528992,0.015170647735628338,0.0025784643650915754,0.00380756392071715,0.008326500235714494,0.007536553211946752,0.009803411118644108,0.02262294098794474,0.020412895346105346,0.025153945503258963,0.02031447456363969,0.041769271698331334,0.014311872011291023,0.015098135677083551,0.012512901919195999,0.021794127220356018,0.020053631141836843,0.0207203671296016,0.021645361691075785,0.02043283060988857,0.009099284279132026,0.0156235046177062,0.013417247923733455,0.006585596564880907,0.00540719882195093,0.005067465095953087
6,600.0,0.01,50.0,128.0,0.08973728332101498,0.014304301412720988,0.0016369487789657158,0.0038187405510253227,0.010944584902912863,0.00646557507925149,0.0067584857785299955,0.012171578473683194,0.028508081544210303,0.026240625143452677,0.019404810268401438,0.0336857381748471,0.012282907852004523,0.017195799693642332,0.02157657388675671,0.012385664289023445,0.013492403128244523,0.01654531342850817,0.01853940923864231,0.014548251175889416,0.016241751638655415,0.018094366833971576,0.01278868131733703,0.008165578921804669,0.005236574531198158,0.006574789274345317
7,800.0,0.01,50.0,128.0,0.09697778954217262,0.015890570093848196,0.0028894004805630593,0.003668521904317846,0.009101698355704355,0.007097795771330646,0.008439231151916608,0.013229515071045595,0.01175285546547901,0.02284323583286322,0.03128574090350221,0.05184493654015545,0.01662377845491502,0.01613995037361316,0.012949301638754098,0.02077522871286564,0.016463442100183634,0.02409620466859153,0.01797506341997065,0.019371123628736706,0.008570760690556877,0.027255813827714925,0.0144622888418758,0.006666125937727227,0.012208973317561315,0.005662695162412073
8,200.0,0.001,50.0,128.0,0.09968204415435485,0.016133579146590468,0.003012201922045322,0.003561643345270858,0.006343561672975503,0.006268304153014016,0.0081576861764997,0.02049505901640134,0.019068581971198113,0.02120436242569043,0.0274978753295141,0.04764039585806804,0.014241316915439138,0.015160413578699065,0.01642807420958557,0.023776227396979425,0.019237353160070095,0.022637313394018085,0.02460865911122742,0.027550322310283773,0.008598917086351687,0.016090891297887884,0.014369096221590065,0.008128448374358527,0.0068587577252688684,0.006270436865734171
9,400.0,0.001,50.0,128.0,0.10435760933353233,0.01701023078510493,0.002901454985637539,0.003516720914275232,0.005140140610939231,0.009546361493875373,0.008541717106499497,0.017931775225960327,0.01891648352354737,0.022516799537031177,0.03116253410135246,0.046225295232325124,0.016795283722092418,0.021828585890347633,0.022463170804957754,0.026998385959108903,0.01643387469934861,0.02245448251633185,0.01786582327158986,0.016947030807304315,0.008962348838003448,0.0255687578321221,0.01994543439791132,0.012091778988874056,0.006325409657915699,0.0071658887251669955
10,600.0,0.001,50.0,128.0,0.10678581479499745,0.017702668685887723,0.0030951443981657198,0.0034153138389730695,0.007538190602222646,0.006303366906978917,0.009157310929594509,0.024302693144231752,0.015845664590891245,0.025485934355967667,0.033261493589000005,0.04361250943933176,0.019305386667100674,0.02688780787780122,0.020659639615397945,0.024604878969291852,0.022448418865521458,0.028128395021271894,0.023691817258520303,0.021695914303768802,0.009598192801664454,0.020460588533787183,0.014193047916208552,0.00998681744662413,0.005454021925468979,0.005731499463520631
11,800.0,0.001,50.0,128.0,0.1827169904357889,0.05182736385719686,0.023141177170358455,0.03879673055630342,0.030869354000642123,0.03448617243972935,0.00705362410018168,0.004495861377909631,0.0115251296028854,0.09541427339638424,0.08024338721241042,0.10761325814859068,0.1006432483699675,0.09349443753055652,0.0736865758066672,0.10123351752354642,0.07273430180813106,0.11157111601789235,0.07727945844881806,0.06553678711272663,0.029127490001754287,0.008509694866764344,0.011920715363224131,0.012735063758283177,0.03438733440593518,0.01735802355306267
12,200.0,0.0001,50.0,128.0,0.2584765724840276,0.09792426997922415,0.05073626484758022,0.06756094248936541,0.07427849316581706,0.08128536626568283,0.029433383670887305,0.0107464075987922,0.017539423634649397,0.20273220881722354,0.1796368174274388,0.18630720444270615,0.13857232339282397,0.16957929822841117,0.16029384028326965,0.17279837023647168,0.14171971068850808,0.12819941190494635,0.13811975778428162,0.1606038584543125,0.06957191138376129,0.01556736776153212,0.029271618516132986,0.03820228025432401,0.043609463099510866,0.043816755152950373
13,400.0,0.0001,50.0,128.0,0.2747552185639521,0.1071168092859226,0.09173134825021759,0.06569983555997645,0.09565182474240032,0.11921403239252064,0.04430013280905129,0.01765889646925824,0.011928202786510777,0.155613726815442,0.13244711005952145,0.2704593265838242,0.11903747896696949,0.15528556401220522,0.1531347005687181,0.20686422912195002,0.14978818824760282,0.14727433782109492,0.12313334026828528,0.17049861434233277,0.10423180308748482,0.03364734728088099,0.026634020541447367,0.051701781820477834,0.07267736993015529,0.0521902103838145
14,600.0,0.0001,50.0,128.0,0.27048828728709695,0.10447255678766244,0.06316464678773609,0.08572383275622951,0.08445245129729452,0.0494185569694994,0.0430874137367927,0.008348719539667055,0.012107271563417378,0.16853335794677893,0.15347595550763524,0.18305900910789435,0.15475638270162273,0.17417060803267012,0.1671554641560568,0.20825238319376432,0.15412357695726647,0.18709207086593813,0.18506899941888844,0.13196501604536576,0.04133531253795277,0.034805222579143334,0.035078315391209,0.04855916703210966,0.048567055192251185,0.08504057358671477
15,800.0,0.0001,50.0,128.0,0.29606780353489265,0.1243802498504037,0.12773783520858106,0.0613082937719889,0.07625132731024264,0.07806199480362735,0.029769863491780374,0.01580400300797873,0.026061789236494732,0.19504297001749468,0.2116149069110801,0.26212918028283966,0.1473214785320039,0.1932779116057118,0.2161542512568058,0.18084330317139943,0.22663606983628065,0.23064284353889541,0.193693768445735,0.2078172697802902,0.054993776740695874,0.03301079585911091,0.030903879720009124,0.03193271076171099,0.05260791016076297,0.10150786295816912
