t,dato_id,x1_DA,x2_DA,x3_DA,x4_DA,x5_DA,x6_DA,x7_DA,x8_DA,x9_DA,x10_DA,x11_DA,x12_DA,x13_DA,x14_DA,x15_DA,x16_DA,x17_DA,x18_DA,x19_DA,x20_DA,x21_DA,x22_DA,x23_DA,x24_DA,x25_DA,x26_DA,x27_DA,x28_DA,x29_DA,x30_DA,x31_DA,x32_DA,x33_DA,x34_DA,x35_DA,x36_DA,x37_DA,x38_DA,x39_DA,x40_DA,x41_DA,x42_DA,x43_DA,x44_DA,x45_DA,x46_DA,x47_DA,x48_DA,x49_DA,x50_DA,x51_DA,x52_DA,x53_DA,x54_DA,x55_DA,x56_DA,x57_DA,x58_DA,x59_DA,x60_DA,x61_DA,x62_DA,x63_DA,x64_DA,x65_DA,x66_DA,x67_DA,x68_DA,x69_DA,x70_DA,x71_DA,x72_DA,y1_DA,y2_DA,y3_DA,y4_DA,y5_DA,y6_DA,y7_DA,y8_DA,y9_DA,y10_DA,y11_DA,y12_DA,y13_DA,y14_DA,y15_DA,y16_DA,y17_DA,y18_DA,y19_DA,y20_DA,y21_DA,y22_DA,y23_DA,y24_DA
0,2016-01-06 12:00:00+01:00,0.15706943113511632,0.15463019426779337,0.15463019426779337,0.15410750065336704,0.16290617649621048,0.16726195661643,0.16508406655632024,0.16203502047216659,0.15828904956877776,0.1551528878822197,0.14914191131631677,0.13790399860615038,0.13982054185904697,0.13851380782298112,0.13633591776287135,0.13642303336527573,0.1394720794494294,0.14678979005139822,0.15767924035194705,0.1710079275198188,0.1792839097482359,0.1792839097482359,0.17910967854342713,0.17623486366408225,0.17370851119435493,0.17353427998954613,0.17396985800156808,0.1757992856520603,0.18189737782036763,0.18433661468769058,0.17971948776025787,0.1730115863751198,0.16673926300200367,0.16194790486976218,0.15506577227981533,0.14914191131631677,0.15480442547260215,0.15175537938844846,0.15097133896680895,0.1516682637860441,0.15463019426779337,0.15689519993030754,0.1645613729418939,0.17945814095304471,0.19749107065075355,0.19008624444638036,0.19052182245840232,0.18930220402474085,0.18294276504922033,0.1803292969770886,0.18050352818189738,0.18120045300113252,0.1833783430612423,0.18573046432616083,0.18093910619391934,0.17919679414583153,0.1740569736039725,0.16970119348375295,0.16395156372506317,0.15733077794232947,0.17518947643522956,0.17179196794145832,0.1691784998693266,0.1693527310741354,0.17074658071260565,0.17336004878473735,0.1793710253506403,0.19296105932572524,0.2202282428782995,0.24679850161163863,0.30542730202979357,0.331387751546302,0.3263350466068473,0.31971426082411364,0.25995295757470166,0.24618869239480792,0.24671138600923426,0.2586462235386358,0.2463629235996167,0.23486366408223713,0.217440543601359,0.19296105932572524,0.17910967854342713,0.16952696227894418,0.19191567209687257,0.19026047565118914,0.18808258559107938,0.18825681679588815,0.1889537416151233,0.18912797281993207,0.19383221534976916,0.24296541510584546,0.2663123965502222,0.25638121787612167,0.25577140865929093,0.23634462932311176
1,2016-01-06 13:00:00+01:00,0.15463019426779337,0.15463019426779337,0.15410750065336704,0.16290617649621048,0.16726195661643,0.16508406655632024,0.16203502047216659,0.15828904956877776,0.1551528878822197,0.14914191131631677,0.13790399860615038,0.13982054185904697,0.13851380782298112,0.13633591776287135,0.13642303336527573,0.1394720794494294,0.14678979005139822,0.15767924035194705,0.1710079275198188,0.1792839097482359,0.1792839097482359,0.17910967854342713,0.17623486366408225,0.17370851119435493,0.17353427998954613,0.17396985800156808,0.1757992856520603,0.18189737782036763,0.18433661468769058,0.17971948776025787,0.1730115863751198,0.16673926300200367,0.16194790486976218,0.15506577227981533,0.14914191131631677,0.15480442547260215,0.15175537938844846,0.15097133896680895,0.1516682637860441,0.15463019426779337,0.15689519993030754,0.1645613729418939,0.17945814095304471,0.19749107065075355,0.19008624444638036,0.19052182245840232,0.18930220402474085,0.18294276504922033,0.1803292969770886,0.18050352818189738,0.18120045300113252,0.1833783430612423,0.18573046432616083,0.18093910619391934,0.17919679414583153,0.1740569736039725,0.16970119348375295,0.16395156372506317,0.15733077794232947,0.17518947643522956,0.17179196794145832,0.1691784998693266,0.1693527310741354,0.17074658071260565,0.17336004878473735,0.1793710253506403,0.19296105932572524,0.2202282428782995,0.24679850161163863,0.30542730202979357,0.331387751546302,0.3263350466068473,0.31971426082411364,0.25995295757470166,0.24618869239480792,0.24671138600923426,0.2586462235386358,0.2463629235996167,0.23486366408223713,0.217440543601359,0.19296105932572524,0.17910967854342713,0.16952696227894418,0.19191567209687257,0.19026047565118914,0.18808258559107938,0.18825681679588815,0.1889537416151233,0.18912797281993207,0.19383221534976916,0.24296541510584546,0.2663123965502222,0.25638121787612167,0.25577140865929093,0.23634462932311176,0.24854081365972647
2,2016-01-06 14:00:00+01:00,0.15463019426779337,0.15410750065336704,0.16290617649621048,0.16726195661643,0.16508406655632024,0.16203502047216659,0.15828904956877776,0.1551528878822197,0.14914191131631677,0.13790399860615038,0.13982054185904697,0.13851380782298112,0.13633591776287135,0.13642303336527573,0.1394720794494294,0.14678979005139822,0.15767924035194705,0.1710079275198188,0.1792839097482359,0.1792839097482359,0.17910967854342713,0.17623486366408225,0.17370851119435493,0.17353427998954613,0.17396985800156808,0.1757992856520603,0.18189737782036763,0.18433661468769058,0.17971948776025787,0.1730115863751198,0.16673926300200367,0.16194790486976218,0.15506577227981533,0.14914191131631677,0.15480442547260215,0.15175537938844846,0.15097133896680895,0.1516682637860441,0.15463019426779337,0.15689519993030754,0.1645613729418939,0.17945814095304471,0.19749107065075355,0.19008624444638036,0.19052182245840232,0.18930220402474085,0.18294276504922033,0.1803292969770886,0.18050352818189738,0.18120045300113252,0.1833783430612423,0.18573046432616083,0.18093910619391934,0.17919679414583153,0.1740569736039725,0.16970119348375295,0.16395156372506317,0.15733077794232947,0.17518947643522956,0.17179196794145832,0.1691784998693266,0.1693527310741354,0.17074658071260565,0.17336004878473735,0.1793710253506403,0.19296105932572524,0.2202282428782995,0.24679850161163863,0.30542730202979357,0.331387751546302,0.3263350466068473,0.31971426082411364,0.25995295757470166,0.24618869239480792,0.24671138600923426,0.2586462235386358,0.2463629235996167,0.23486366408223713,0.217440543601359,0.19296105932572524,0.17910967854342713,0.16952696227894418,0.19191567209687257,0.19026047565118914,0.18808258559107938,0.18825681679588815,0.1889537416151233,0.18912797281993207,0.19383221534976916,0.24296541510584546,0.2663123965502222,0.25638121787612167,0.25577140865929093,0.23634462932311176,0.24854081365972647,0.22798153149229025
3,2016-01-06 15:00:00+01:00,0.15410750065336704,0.16290617649621048,0.16726195661643,0.16508406655632024,0.16203502047216659,0.15828904956877776,0.1551528878822197,0.14914191131631677,0.13790399860615038,0.13982054185904697,0.13851380782298112,0.13633591776287135,0.13642303336527573,0.1394720794494294,0.14678979005139822,0.15767924035194705,0.1710079275198188,0.1792839097482359,0.1792839097482359,0.17910967854342713,0.17623486366408225,0.17370851119435493,0.17353427998954613,0.17396985800156808,0.1757992856520603,0.18189737782036763,0.18433661468769058,0.17971948776025787,0.1730115863751198,0.16673926300200367,0.16194790486976218,0.15506577227981533,0.14914191131631677,0.15480442547260215,0.15175537938844846,0.15097133896680895,0.1516682637860441,0.15463019426779337,0.15689519993030754,0.1645613729418939,0.17945814095304471,0.19749107065075355,0.19008624444638036,0.19052182245840232,0.18930220402474085,0.18294276504922033,0.1803292969770886,0.18050352818189738,0.18120045300113252,0.1833783430612423,0.18573046432616083,0.18093910619391934,0.17919679414583153,0.1740569736039725,0.16970119348375295,0.16395156372506317,0.15733077794232947,0.17518947643522956,0.17179196794145832,0.1691784998693266,0.1693527310741354,0.17074658071260565,0.17336004878473735,0.1793710253506403,0.19296105932572524,0.2202282428782995,0.24679850161163863,0.30542730202979357,0.331387751546302,0.3263350466068473,0.31971426082411364,0.25995295757470166,0.24618869239480792,0.24671138600923426,0.2586462235386358,0.2463629235996167,0.23486366408223713,0.217440543601359,0.19296105932572524,0.17910967854342713,0.16952696227894418,0.19191567209687257,0.19026047565118914,0.18808258559107938,0.18825681679588815,0.1889537416151233,0.18912797281993207,0.19383221534976916,0.24296541510584546,0.2663123965502222,0.25638121787612167,0.25577140865929093,0.23634462932311176,0.24854081365972647,0.22798153149229025,0.21726631239655023
4,2016-01-06 16:00:00+01:00,0.16290617649621048,0.16726195661643,0.16508406655632024,0.16203502047216659,0.15828904956877776,0.1551528878822197,0.14914191131631677,0.13790399860615038,0.13982054185904697,0.13851380782298112,0.13633591776287135,0.13642303336527573,0.1394720794494294,0.14678979005139822,0.15767924035194705,0.1710079275198188,0.1792839097482359,0.1792839097482359,0.17910967854342713,0.17623486366408225,0.17370851119435493,0.17353427998954613,0.17396985800156808,0.1757992856520603,0.18189737782036763,0.18433661468769058,0.17971948776025787,0.1730115863751198,0.16673926300200367,0.16194790486976218,0.15506577227981533,0.14914191131631677,0.15480442547260215,0.15175537938844846,0.15097133896680895,0.1516682637860441,0.15463019426779337,0.15689519993030754,0.1645613729418939,0.17945814095304471,0.19749107065075355,0.19008624444638036,0.19052182245840232,0.18930220402474085,0.18294276504922033,0.1803292969770886,0.18050352818189738,0.18120045300113252,0.1833783430612423,0.18573046432616083,0.18093910619391934,0.17919679414583153,0.1740569736039725,0.16970119348375295,0.16395156372506317,0.15733077794232947,0.17518947643522956,0.17179196794145832,0.1691784998693266,0.1693527310741354,0.17074658071260565,0.17336004878473735,0.1793710253506403,0.19296105932572524,0.2202282428782995,0.24679850161163863,0.30542730202979357,0.331387751546302,0.3263350466068473,0.31971426082411364,0.25995295757470166,0.24618869239480792,0.24671138600923426,0.2586462235386358,0.2463629235996167,0.23486366408223713,0.217440543601359,0.19296105932572524,0.17910967854342713,0.16952696227894418,0.19191567209687257,0.19026047565118914,0.18808258559107938,0.18825681679588815,0.1889537416151233,0.18912797281993207,0.19383221534976916,0.24296541510584546,0.2663123965502222,0.25638121787612167,0.25577140865929093,0.23634462932311176,0.24854081365972647,0.22798153149229025,0.21726631239655023,0.20637686209600142
