,batch_size,learning_rate,epoch,univ_neurons,mse_all,mse_all2,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mse9,mse10,mse11,mse12,mse13,mse14,mse15,mse16,mse17,mse18,mse19,mse20,mse21,mse22,mse23,mse24
0,200.0,0.1,50.0,128.0,0.25689743819361055,0.09946713911533783,0.05885004594406073,0.06222623586453837,0.08615784079526441,0.08646809387403628,0.03789239068724946,0.017582155735731835,0.020425085654227834,0.16691111335373987,0.18069675004155417,0.20032774479647886,0.16188708217155684,0.1605383827318484,0.1528302430223635,0.16646989503815285,0.13714202100112396,0.13498212678236468,0.14900197862976455,0.14162307944556035,0.060111999182281044,0.026142618312912463,0.034236627034709116,0.03818993792266923,0.056562159338959445,0.04995573140695976
1,400.0,0.1,50.0,128.0,0.2562939712679156,0.09913586755905461,0.05838890656218388,0.0626357397540989,0.08612441336962799,0.08630866693087061,0.03735306023735349,0.017703679291711873,0.02065298050932018,0.16722500878935928,0.18056634644757638,0.2004170878102626,0.16099982923511466,0.15998876926100483,0.15223897216830848,0.1661618790120365,0.13656630695239252,0.13430099561271455,0.14842660207459493,0.13950462805082198,0.05951340895404452,0.02569478486499106,0.03365533843696871,0.03818655480905351,0.056968897293291215,0.049677964989607956
2,600.0,0.1,50.0,128.0,0.25609285785271224,0.0989777096874568,0.058391208807359006,0.061923662185607034,0.08560370931119386,0.08668393228473853,0.0380298032735902,0.017797373817351237,0.02018758662296689,0.1675910766999545,0.18136565369651658,0.19934197813939145,0.1590636963016595,0.15818948541712344,0.1516391332752632,0.1665393911793577,0.13625530263178334,0.1362198342598368,0.14731950260637455,0.13919090645974785,0.05912356133114025,0.026174150684261356,0.03346642524615076,0.037861077404423196,0.05756482168520522,0.049941759177966664
3,800.0,0.1,50.0,128.0,0.25257990940159614,0.09740407696785743,0.059849955979271334,0.05920797089610811,0.08387528723648777,0.09094779289590313,0.0286491680721455,0.016083582462610553,0.02298277012822033,0.16978634532179065,0.18802917899250532,0.20900184548526807,0.15221426556918077,0.1434717689614357,0.13372040569649793,0.16724774253141456,0.1342185327595183,0.13740156646105156,0.13875583544382214,0.14657043857215812,0.07149449765227235,0.026534141920225383,0.028791589828792454,0.03516168553178535,0.05258560409339292,0.041115874736720015
4,200.0,0.01,50.0,128.0,0.15345754425116873,0.03980934519395849,0.004884214881949614,0.04005027102752421,0.03415285172462809,0.03677804676476132,0.005681429422503897,0.012995303115406679,0.0042936686617768656,0.04804812846421214,0.058273207266239344,0.1591969003033732,0.027213355716413767,0.07759337359247713,0.05742129303676634,0.0717835141145133,0.04144493727440179,0.10810445784717648,0.049784365264186024,0.04253209892700167,0.012079613572801432,0.028127811727518055,0.011516567586260873,0.0068410153666510565,0.008153676943851327,0.008474182052609176
5,400.0,0.01,50.0,128.0,0.2561914575310364,0.0990566369261714,0.05353298474648356,0.06496186599349725,0.08111433273955646,0.08606446295017772,0.03761313566272246,0.018812076122709374,0.02336926249078647,0.16579619035609064,0.1804679723171006,0.20904722768450942,0.15037230817761632,0.1601516868020444,0.15531799361232393,0.1706129623331552,0.13342357862948398,0.1377051103773363,0.14328800697051094,0.14678794463842182,0.05953686686399515,0.027407043224691785,0.03452450722219786,0.036009196774198955,0.0547462106600646,0.04669635887843869
6,600.0,0.01,50.0,128.0,0.2552839842880143,0.0987431909553526,0.06033112835827711,0.0607658683716254,0.08837957619914937,0.08788842850214595,0.03513613632821732,0.017225242191218976,0.018236207593022413,0.1670115416947758,0.1756967656721714,0.20724751813751416,0.15118136952865927,0.16603877037190062,0.15134231863538464,0.1674318972257113,0.13321478078324717,0.13734495197276927,0.14595296021502455,0.14100262305310118,0.05942610651654511,0.02577611554644301,0.03130349306942623,0.03617950370693033,0.05324269310329034,0.05248058615191107
7,800.0,0.01,50.0,128.0,0.2534587262157508,0.09760111802045318,0.05718043024620227,0.0628502351261891,0.0823846909032805,0.08502277654930286,0.03719626452309524,0.017976641106315177,0.019181873774473245,0.16605111597142047,0.1775840975607083,0.20043644029085814,0.1530967509335993,0.15610698049976574,0.148647020374097,0.16867057379396316,0.1335772450944057,0.136546808670944,0.14432813112890716,0.1397810947581955,0.05693583862764191,0.025961678493823605,0.03149143828891179,0.0362839998523914,0.0539158304711581,0.05121887545122656
8,200.0,0.001,50.0,128.0,0.09985522664783486,0.01877527753557152,0.012368979422928462,0.015183913571378892,0.028301057508536245,0.021713367727697403,0.009227122559558031,0.006317847492491628,0.004583444149517774,0.03313320509252112,0.021545792437175207,0.05300671603486169,0.01457084279201278,0.01853444013842342,0.009678461552188275,0.015971620061323605,0.02090117757009508,0.020241854403693707,0.03261376165120918,0.05659713017552721,0.013444242909418208,0.007450598966922282,0.008340978206140302,0.007981440223891243,0.007316433883241885,0.011582232322962856
9,400.0,0.001,50.0,128.0,0.11608802236212006,0.024230186954127837,0.014403688632001744,0.006032600536526404,0.026430563214175057,0.023206093686317892,0.007103345614030859,0.008358501637923966,0.004373482118274781,0.02585573205482583,0.03764045514391066,0.07970667744921274,0.020081430347602715,0.029961710711769583,0.029860297606834795,0.03965987751005673,0.030770095882880464,0.06356059231063893,0.026054350454776727,0.03717728396039966,0.012787080052791932,0.012540696210145107,0.010318479027611915,0.011417730984362636,0.013657078025576608,0.010566643726420353
10,600.0,0.001,50.0,128.0,0.11620061802671183,0.02494780375472694,0.010302369263586951,0.005971722085930038,0.053376074468046576,0.017628646564204615,0.018327509338400914,0.005085566464443213,0.004603408616686633,0.0589782294270357,0.03792198349659706,0.023504032160519144,0.034101504894220466,0.03770784892862288,0.028369467653359827,0.04817432867654253,0.04313961696051558,0.041415047294555384,0.026741282601076024,0.016501659234542734,0.01568229075903918,0.01133293057696685,0.01717507725791447,0.019914657670796133,0.014771641247266605,0.008020394472577
11,800.0,0.001,50.0,128.0,0.12756229037093772,0.027921890160153867,0.006930969509916093,0.015415317719255542,0.028264902979049173,0.011983167261123822,0.014207820965889732,0.01621930199510218,0.007983719921929817,0.06239094505395159,0.04283841264944431,0.07124215744311137,0.017495556141868197,0.043671164314485915,0.027296853614463143,0.023477267651060677,0.04259426999664783,0.04749983128759426,0.07002155408636286,0.049106274058527306,0.010394188556152569,0.016381725468020848,0.012466304935497437,0.009446947434392795,0.013110618892519021,0.009686091907326281
12,200.0,0.0001,50.0,128.0,0.17125029359773292,0.04945411969735899,0.00970309102089236,0.009549057328615584,0.08075176263549491,0.028692919933658786,0.027774602035551117,0.01597917671377095,0.004849426184136867,0.07401861852536336,0.12878160246678294,0.0638289240138415,0.11492261831634948,0.07571929013004695,0.10391017094321078,0.07625462880683935,0.03949335674813109,0.04194051937253358,0.08785918118906236,0.08362417089131872,0.025744997687504188,0.015577063623029614,0.022219246960315558,0.02405372070873163,0.016924801402663687,0.014725925098770491
13,400.0,0.0001,50.0,128.0,0.16624064123627688,0.047163937349983504,0.012912515594626056,0.007111729129486795,0.037704822245733564,0.05514922618775869,0.03176810699275868,0.01756551191548214,0.0085663312773326,0.06015339932390539,0.08139937014004299,0.06700273130273389,0.06990141258447384,0.06747249075729154,0.08422378345975833,0.09175102785615714,0.06760191233976583,0.06581543355958923,0.09733392485259756,0.10422285082813976,0.03536756066587787,0.009449266245765154,0.022944301863975097,0.007102089495913806,0.017374692772679754,0.012040005007758385
14,600.0,0.0001,50.0,128.0,0.18588521107072567,0.06152612547240598,0.020363607379358054,0.021826087075214422,0.031014017544720093,0.017227159375826723,0.03352656215937681,0.020920488220978115,0.03708630340968688,0.03838457494715396,0.2696109083248482,0.16827398228985785,0.09756956308476297,0.11481789927635412,0.07120866331613468,0.1628943646886263,0.08366222238420193,0.043571754105497636,0.02071140403254837,0.07372996074802686,0.04251850397158406,0.013572844611587222,0.020775561679867043,0.03613757261918603,0.012223304777924295,0.024999701314420735
15,800.0,0.0001,50.0,128.0,0.19212171482696258,0.06320718635771395,0.05428947543565373,0.02178088698217152,0.07667725009436882,0.1578936077703896,0.011784373326072375,0.007088974395334364,0.00971971858089411,0.12998392118666321,0.1037668708585443,0.0996794730764905,0.09763788234021022,0.07366616767251595,0.054418599769786906,0.04584892265979024,0.06577588340540666,0.15708799196359285,0.024779118327452034,0.1676326415799206,0.016548613548629305,0.016209812905699065,0.017189857023318152,0.023692665010843834,0.05380930628809342,0.030010458383293203
